time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),weather_code (wmo code),pressure_msl (hPa),cloud_cover (%),wind_speed_10m (km/h),is_day ()
2024-01-01T00:00,3.5,65,0.00,2,1015.6,65,5.7,0
2024-01-01T01:00,3.5,60,0.00,3,1016.2,99,6.0,0
2024-01-01T02:00,2.8,65,0.00,3,1016.1,96,6.8,0
2024-01-01T03:00,2.3,68,0.00,2,1016.1,73,8.4,0
2024-01-01T04:00,1.6,74,0.00,3,1016.2,100,6.3,0
2024-01-01T05:00,1.6,76,0.00,3,1016.3,100,8.9,0
2024-01-01T06:00,2.6,74,0.00,3,1016.3,100,11.4,0
2024-01-01T07:00,2.7,74,0.00,3,1016.4,100,9.7,0
2024-01-01T08:00,2.5,76,0.00,2,1016.2,65,8.1,0
2024-01-01T09:00,0.5,88,0.00,3,1016.0,91,7.5,0
2024-01-01T10:00,-0.0,91,0.00,3,1015.8,100,8.6,0
2024-01-01T11:00,1.2,88,0.00,3,1016.0,100,3.7,0
2024-01-01T12:00,1.7,86,0.00,3,1016.2,100,5.0,0
2024-01-01T13:00,3.0,81,0.00,3,1016.8,100,4.7,1
2024-01-01T14:00,3.6,77,0.00,3,1017.2,100,5.0,1
2024-01-01T15:00,4.5,72,0.00,2,1017.5,57,6.8,1
2024-01-01T16:00,5.3,69,0.00,1,1017.1,27,6.5,1
2024-01-01T17:00,6.5,64,0.00,1,1016.4,25,6.2,1
2024-01-01T18:00,7.4,59,0.00,3,1016.1,98,8.2,1
2024-01-01T19:00,7.3,59,0.00,3,1016.2,100,8.6,1
2024-01-01T20:00,7.1,58,0.00,3,1016.4,100,8.9,1
2024-01-01T21:00,6.8,59,0.00,3,1016.6,100,8.0,1
2024-01-01T22:00,4.6,72,0.00,0,1016.8,4,6.8,0
2024-01-01T23:00,3.1,79,0.00,3,1017.1,91,7.1,0
2024-01-02T00:00,1.8,87,0.00,1,1017.5,32,7.1,0
2024-01-02T01:00,1.9,79,0.00,0,1018.3,16,11.2,0
2024-01-02T02:00,1.5,70,0.00,0,1018.7,1,13.7,0
2024-01-02T03:00,0.5,73,0.00,0,1019.0,0,14.3,0
2024-01-02T04:00,-0.6,78,0.00,0,1019.2,0,13.7,0
2024-01-02T05:00,-1.4,78,0.00,0,1019.2,0,12.8,0
2024-01-02T06:00,-2.0,79,0.00,0,1019.1,0,12.4,0
2024-01-02T07:00,-2.5,79,0.00,0,1019.4,0,10.8,0
2024-01-02T08:00,-3.0,80,0.00,0,1019.6,0,9.7,0
2024-01-02T09:00,-3.6,83,0.00,0,1019.5,0,8.8,0
2024-01-02T10:00,-4.1,87,0.00,0,1019.6,0,8.4,0
2024-01-02T11:00,-4.5,88,0.00,0,1019.9,0,7.0,0
2024-01-02T12:00,-4.8,89,0.00,0,1020.3,0,6.4,0
2024-01-02T13:00,-3.0,80,0.00,0,1020.5,0,8.1,1
